player,off_contribution,def_contribution
cal clutterbuck,-0.513327626523992,0.425950292288372
cam atkinson,0.629558667482285,-0.643712280154352
carl hagelin,0.132833934082817,-0.430948084031598
carl soderberg,0.0902422302588193,-0.229621431204548
casey cizikas,-0.472361172587545,0.396362719094893
charlie coyle,0.126233271954457,0.0767375199813786
chris higgins,0.233471779805016,-0.615823735291897
chris kelly,-0.622112880573949,0.335732188567027
chris kreider,0.714282960848768,-0.0191154659378889
chris kunitz,0.417264220665291,0.0746706729910654
chris neil,-0.544501786256953,0.203692344844025
chris stewart,-0.213639418506354,-0.351732083157444
clarke macarthur,0.452928207029665,0.0474444057504207
claude giroux,1.12276293289256,-0.255365271384275
cody eakin,-0.223614752945429,-0.428885928930249
cody hodgson,-0.145856114783309,-0.684109853126319
cody mcleod,-0.745800523115149,0.171368426000454
colin greening,-0.409276479809995,0.028378778591986
colin mcdonald,-0.299665344743663,-0.0820968768196664
colin wilson,-0.0526557921761895,0.0830022362048429
corey perry,0.944731528828418,-0.613334860770157
cory conacher,-0.285260307460266,0.201022486886485
craig adams,-0.936829222787945,0.435921734880113
craig smith,0.610316295023115,-0.403360385218211
curtis glencross,-0.127346088588054,-0.0417404095647094
dainius zubrus,-0.593314044882696,0.276393462059496
damien brunner,-0.215772532488399,0.020395505612889
daniel alfredsson,0.248059028091309,0.128491741307358
daniel briere,-0.340556698999192,-0.0335634670822184
daniel paille,-0.559658055623208,0.227535326835674
daniel sedin,0.582869958229659,0.0521856346960304
daniel winnik,-0.397247102825763,-0.0587361234780723
dany heatley,-0.208690653537986,-0.333190649235801
darren helm,-0.367913835004734,0.183461361802621
david backes,0.280279374439818,0.547428734886936
david booth,-0.405617999952226,0.0873273100839805
david clarkson,-0.460224710226577,-0.380904934790235
david desharnais,0.188604976745422,-0.447299192939202
david jones,-0.256750044633583,-0.0081857832062922
david krejci,0.582335750200898,-0.345628327152484
david legwand,-0.229296139136479,0.00900659721130908
david perron,0.411524851023406,0.0842852118909621
derek mackenzie,-0.842202387490828,0.16059193317035
derek roy,-0.0357672285973293,0.247216969672847
derek stepan,0.365371521656159,-0.191045787476371
derick brassard,0.520560512246875,-0.171299511851588
devin setoguchi,-0.0248281744324671,0.0606502406927683
dominic moore,-0.501781240941782,0.213893114709503
drayson bowman,-0.464229383275725,-0.0525144767479991
drew miller,-0.733961182971867,0.354615696439876
drew stafford,-0.24223665221221,0.0729657929834791
dustin brown,0.0629622616904785,0.145005525372619
dustin penner,0.0566240024831864,0.151869492527684
dwight king,-0.254871716131554,-0.482131946477538
elias lindholm,0.256183371715054,-0.187995073284709
eric fehr,-0.278169316089528,0.196026905154413
eric nystrom,-0.567667736290467,0.206577244499137
eric staal,0.870687562331805,-0.404845995760693
erik cole,0.178729289249298,-0.10514508415444
erik condra,-0.348195810215385,0.107052362250492
evander kane,0.402291891408585,-0.397568405090928
evgeni malkin,1.46192585979402,-0.183347627009406
frans nielsen,-0.0788881478902083,0.758421909519956
gabriel bourque,-0.529358483715576,0.061701450735341
gabriel landeskog,0.664793961455116,0.508181738565899
gregory campbell,-0.778516100564622,0.334841694412969
gustav nyquist,0.51101359624412,-0.0668045817475755
henrik sedin,0.312711894615141,0.308823598286944
henrik zetterberg,0.551297504864929,0.701257250193255
j.t. brown,-0.526590153264252,0.139976477031229
jaden schwartz,0.671872600349699,0.590023382068853
jakob silfverberg,0.203037543171609,0.494091000513777
jakub voracek,0.871081903765587,-0.22357973933618
james neal,0.450006192041699,0.0676305196358916
james sheppard,-0.455203026798327,0.349502574449081
james van riemsdyk,0.775652052419966,-0.72766506296701
jamie benn,1.49854686188403,-0.234534581994992
jamie mcginn,-0.0470525712856997,-0.156525810842856
jannik hansen,-0.00982774317179262,0.0627571765223113
jarome iginla,0.6385417315374,-0.928195619786766
jaromir jagr,0.770303884449701,0.885227907916811
jarret stoll,-0.490675343717903,0.179039002701546
jason chimera,-0.0515004121502469,-0.56143419966228
jason pominville,0.345878202561635,0.0708275814305462
jason spezza,0.496777893794451,-0.370332294853383
jay beagle,-0.668701996347063,0.286641315286056
jay mcclement,-0.779748195995487,-0.307354920744098
jeff carter,0.70820409854495,-0.67303007906919
jeff halpern,-0.558657301309767,0.194962688776383
jeff skinner,0.822616267308996,-0.83556744129685
jesse winchester,-0.24004145509707,-0.14475874711537
jiri hudler,0.635634244050619,0.107712844439036
jiri tlusty,0.043823543597009,-0.147413445730735
joakim andersson,-0.730878654844193,0.471977536729329
joe colborne,-0.258025463491752,-0.198534757742078
joe pavelski,1.18348791347182,0.196496892135129
joe thornton,0.665502583310364,0.372269689683636
joel ward,-0.0640430473821626,0.456652055004967
joffrey lupul,-0.0389612609886569,-0.666538466291576
johan franzen,0.154240690026843,-0.0093019194172992
john mitchell,-0.569920389273195,0.148785792257078
john tavares,1.74778950094193,-1.11069354677433
jonathan huberdeau,0.879987436221418,-0.00296344220328486
jonathan toews,1.14771545199947,-0.634399822952763
jordan eberle,0.829885785280021,-0.687034295062469
jordan staal,0.110041375590707,0.864009619537163
